Property Country,Net Order Percent Change,Net Gross Booking Value USD Total Percent Change,Booking Value per order Percent Change
Mongolia,0.0,0.5038932595844197,0.6040061294503618
Montenegro,0.5,0.4501914383406449,-0.14713651449841292
Morocco,0.32057416267942584,-0.0035000542028984505,-0.09606190642175694
Mozambique,-0.23809523809523814,-0.4128021732907644,-0.190127437015434
Myanmar,0.9080459770114941,0.6648911679185114,-0.28943787924156394
Namibia,0.41666666666666674,0.2422382764308746,-0.18630446653686739
Nepal,0.054054054054053946,0.3156658804390662,0.015170065762294849
Netherlands,0.02200902934537252,-0.22166367301163814,-0.2785891539780253
New Caledonia,0.10000000000000009,0.5834484944547274,0.47450771075314324
New Zealand,0.42131147540983616,0.05069746792749008,-0.3345577631592972
Nicaragua,0.5862068965517242,0.13591473574631463,-0.3754243606202947
Niger,0.0,0.4289062200038394,0.4289062200038394
Nigeria,0.1515151515151516,-0.2675045298018137,-0.38543620731535333
Norfolk Island,0.0,3.2003031961524124,3.2003031961524124
Northern Mariana Islands,1.0,0.7860882629477957,-0.09108750553259948
Norway,0.32955423859829946,-0.05656608603692581,-0.352203071275475
Oman,0.1399999999999999,-0.5183533068365676,-0.525057323408499
Pakistan,1.25,0.7202859216450508,-0.3680320562174201
Palau,-0.6,-0.2717933334266044,0.6327351644933961
Panama,0.48398576512455516,0.10078321043514626,0.05844885498295582
Papua New Guinea,1.5,4.9788629946915846,2.084797964221498
Paraguay,-0.1724137931034483,-0.5068629936665763,-0.3311995297373782
Peru,0.18181818181818188,0.0013684790224774979,-0.25688864363283903
Philippines,0.44599844599844607,0.4473799799398357,0.11212916062372291
Poland,0.17817679558011057,-0.009897074350151858,-0.19926598367026638
Portugal,0.29570747217806037,0.03561442104392576,-0.25347203047077815
Puerto Rico,0.12662721893491113,0.2790838280887675,0.21827603042188515
Qatar,-0.0714285714285714,-0.2837328296602476,-0.0957210292212386
Republic of the Congo,-0.8,-0.7632129675813207,0.21203529621321882
Reunion,-0.6666666666666667,0.18549454682592215,1.8706225705094779
